"","Prøvetagnings_skema for TA_X01","Vandprøvenummer (unikt nummer) (U_Pr_Nr)","Ansvarlig prøvetager, navn (Navn_Inds)","Skib (skib)","Institution (Inst)","dato (dato_inds)","lokalitet, navn/område (Lok_omr)","position, breddegrad (lok_pos)","position, længdegrad (lok_pos)","Max vanddybde på lokalitet (max_Dyb)","Dybde hvor vandprøve er indhentet fra (Dyb_Str)","Volumen vand filtreret (Vwf)","Er vandsøjlen lagdelt, (ja/nej)","Dybde for lagdelingen (Dyb_lagd)","tidspunkt hvor vandprøve er indsamlet (tdspkt_inds)","tidspunkt hvor vandprøve er filtreret (tdspkt_filt)","tidspunkt hvor vandprøve er indfrosset (<-15°C) (tdspkt_indfr)","dato hvor vandprøve er overført fra -15°C til -80°C (dato_80C)","Temperatur på vandprøve ved indsamling (Temp_Inds)","Er vandhenter behørigt skyllet inden vandprøven blev indsamlet (ja/nej)","Er pose og filter udskiftet i Amphiltrator inden prøven  er blevet filtreret (ja/nej)","Vandprøven blev indsamlet samtidigt med (bundfauna/makroalge/zooplankton/fytoplankton /fiskeri)","Restvand er presset ud af filteret inden indfrysning (ja/nej)","Zip-lock pose med filter er markeret med dato, unikt nummer og lokalitet (ja/nej)","Bemærkninger"
"1",NA,"MST - 1039","Jette Poulsen Engholm","Penelope","MST-MJL","26.04.2021","RKB1","5604.67","813.14",3.2,"1","570","nej","na","0.51041666666666663","0.54861111111111105","0.5541666666666667","44319",9.5,"ja","ja","fytoplankton","ja","ja",NA
"2",NA,"MST - 1048","Jette Poulsen Engholm","Penelope","MST-MJL","26.04.2021","RKB1","5604.67","813.14",3.2,"1","580","nej","na","0.51041666666666663","0.54166666666666663","0.54861111111111105","44319",9.5,"ja","ja","fytoplankton","ja","ja",NA
"3",NA,"MST2021 - 015","Bent Jensen","Penelope","MST-MJL","02.09.2021","RKB1","5604.67","813.43",3.2,"1","925","nej","na","0.60416666666666663","0.66666666666666663","0.67708333333333337","44447",17.5,"ja","ja","fytoplankton","ja","ja",NA
"4",NA,"MST2021 - 036","Bent Jensen","Penelope","MST-MJL","02.09.2021","RKB1","5604.67","813.43",3.2,"1","950","nej","na","0.60416666666666663","0.65277777777777779","0.65972222222222221","44447",17.5,"ja","ja","fytoplankton","ja","ja",NA
"5",NA,"MST2021-028","Svend Åge Bendtsen","Magrethe Gaardbo","Nordjylland","44466","Hirtshals NOR7715 / 92200001","5736.47","954.92",18,"0-10 m","1200","nej",NA,"0.31458333333333333","0.40972222222222227","0.4201388888888889","44478",15,"ja","ja","Fyto- og zooplankton 0-10 m dybdeintegreret prøve","ja","ja","Vandprøverne er nedkølet og transporteret til Aalborg hvor filtreringen skete"
"6",NA,"MST2021-042","Svend Åge Bendtsen","Magrethe Gaardbo","Nordjylland","44466","Hirtshals NOR7715 / 92200001","5736.47","954.92",18,"0-10 m","1200","nej",NA,"0.31458333333333333","0.4201388888888889","0.43263888888888885","44478",15,"ja","ja","Fyto- og zooplankton 0-10 m dybdeintegreret prøve","ja","ja","Vandprøverne er nedkølet og transporteret til Aalborg hvor filtreringen skete"
"7",NA,"MST2021-031","Svend Åge Bendtsen","Magrethe Gaardbo","Nordjylland","44364","Hirtshals NOR7715 / 92200001","5736.47","954.92",15,"4","1200","nej",NA,"0.43055555555555558","0.50347222222222221","0.51388888888888895","44380",14,"ja","ja","fyto- og zooplankton","ja","ja","Er udtaget med Lindahl slange som dybdeintegredet prøver fra 0-10 meter sammen med planktonprøverne (også profilmålinger, chl.A og vandkemi)"
"8",NA,"MST2021-037","Svend Åge Bendtsen","Magrethe Gaardbo","Nordjylland","44364","Hirtshals NOR7715 / 92200001","5736.47","954.92",15,"4","1200","nej",NA,"0.43055555555555558","0.51388888888888895","0.52430555555555558","44380",14,"ja","ja","fyto- og zooplankton","ja","ja","Er udtaget med Lindahl slange som dybdeintegredet prøver fra 0-10 meter sammen med planktonprøverne (også profilmålinger, chl.A og vandkemi)"
"9",NA,"MST2021-032","Svend Åge Bendtsen","Pingo","Nordjylland","44370","Kragskov Rev Syd","5732.4459999999999","1028.761",4,"3","1400","nej",NA,"0.52083333333333337","0.58680555555555558","0.59722222222222221","44380",15.7,"ja","ja","makroalger","ja","ja","er udtaget med Niskin vandhenter"
"10",NA,"MST2021-045","Svend Åge Bendtsen","Pingo","Nordjylland","44370","Kragskov Rev Syd","5732.4459999999999","1028.761",4,"3","1600","nej",NA,"0.52083333333333337","0.59722222222222221","0.61458333333333337","44380",15.7,"ja","ja","makroalger","ja","ja","er udtaget med Niskin vandhenter"
"11",NA,"MST2021 - 040","Jens Deding","Havana","MST Østjylland","15_09_2021","Tr. 3 Fornæs","5626.6239999999998","1057.865",11,"9.5","1270","?",NA,"11.10","11.22","11.25","22_09_2021",15.7,"Ja","Ja","Makroalger","Ja","Ja",NA
"12",NA,"MST2021 - 035","Jens Deding","Havana","MST Østjylland","15_09_2021","Tr. 3 Fornæs","5626.6239999999998","1057.865",11,"9.5","1270","?",NA,"11.30","11.43","11.46","22_09_2021",15.7,"Ja","Ja","Makroalger","Ja","Ja",NA
"13",NA,"MST2021-081","Lasse Ørsted Jensen","Haig","Sydjylland","44459","Sønderho Øst","55°20,251","8°21,046",6.3,"1","1300","nej",NA,"0.38055555555555554","0.38541666666666669","0.38750000000000001","44460",16,"ja","ja","fytoplankton","Ja","Ja","RIB1510007"
"14",NA,"MST2021-069","Lasse Ørsted Jensen","Haig","Sydjylland","44459","Sønderho Øst","55°20,251","8°21,046",6.3,"1","1400","nej",NA,"0.39097222222222222","0.39583333333333331","0.39652777777777781","44460",16,"ja","ja","fytoplankton","Ja","Ja","RIB1510007"
"15",NA,"MST2021-044","Lasse Ørsted Jensen","Haig","Sydjylland","44335","Sønderho Øst","55°20,251","8°21,046",5.5,"1","1200","nej",NA,"0.35347222222222219","0.3611111111111111","0.36319444444444443","44336",11,"ja","ja","fytoplankton","ja","ja","RIB1510007"
"16",NA,"MST2021-014","Lasse Ørsted Jensen","Haig","Sydjylland","44335","Sønderho Øst","55°20,251","8°21,046",5.5,"1","1250","nej",NA,"0.3354166666666667","0.3444444444444445","0.34722222222222227","44336",11,"ja","ja","fytoplankton","ja","ja","RIB1510007"
"17",NA,"MST2021-049","Lasse Ørsted Jensen","Fucus","Sydjylland","44337","Lister Dyb","55°05,632","8°34,583",11,"10","500","nej",NA,"0.36041666666666666","0.36249999999999999","0.3659722222222222","44337",11,"ja","ja","Bundfauna","ja","ja","LISD0027"
"18",NA,"MST2021-048","Lasse Ørsted Jensen","Fucus","Sydjylland","44337","Lister Dyb","55°05,632","8°34,583",11,"10","500","nej",NA,"0.37013888888888885","0.33749999999999997","0.34097222222222223","44337",11,"ja","ja","Bundfauna","ja","ja","LISD0027"
"19",NA,"MST2021-052","Flemming Nørgaard","Belone","Fyn","44361","FYN6900017",NA,NA,8.4,"1","610","ja","2.6","0.44444444444444442","0.46875","0.51041666666666663","44362",17.8,"ja","ja","fytoplankton","ja","ja",NA
"20",NA,"MST2021-063","Flemming Nørgaard","Belone","Fyn","44361","FYN6900017",NA,NA,8.4,"1","700","ja","2.6","0.41319444444444442","0.41666666666666669","0.4375","44362",17.8,"ja","ja","fytoplankton","ja","ja",NA
"21",NA,"MST2021-071","Flemming Nørgaard & Pauli Jørgensen","Belone","Fyn","44482","FYN6900017","55°28,697","10°31,094",9.8,"1","1500","nej",NA,"0.3576388888888889","0.35902777777777778","0.3611111111111111","44490",11.4,"ja","ja","fytoplankton","ja","ja",NA
"22",NA,"MST2021-077","Flemming Nørgaard & Pauli Jørgensen","Belone","Fyn","44482","FYN6900017","55°28,697","10°31,094",9.8,"1","1600","nej",NA,"0.34027777777777773","0.34166666666666662","0.34375","44490",11.4,"ja","ja","fytoplankton","ja","ja",NA
"23",NA,"MST2021-005","Emil Guddal Larsen","Mergus","Sjælland","44348","ROS60 / 322 Roskilde Fjord","5542.78","1204",4.8,"1","1600","nej",NA,"0.50069444444444444","0.51388888888888895","0.51458333333333328","44357",17.1,"ja","ja","fytoplankton","ja","ja",NA
"24",NA,"MST2021-020","Emil Guddal Larsen","Mergus","Sjælland","44348","ROS60 / 322 Roskilde Fjord","5542.78","1204",4.8,"1","1600","nej",NA,"0.51736111111111105","0.53125","0.53194444444444444","44357",17.1,"ja","ja","fytoplankton","ja","ja",NA
"25",NA,"MST2021-025","Emil Guddal Larsen","Mergus","Sjælland","44357","Franks Rev","5502.009","1490.2819999999999",3.9,"2.8","1750","nej",NA,"0.38055555555555554","0.39444444444444443","0.39513888888888887","44362",16.8,"ja","ja","makroalger","ja","ja","Dato for overførsel til -80 C fryseren i laboratoriet er ikke dokumentere, men prøvem er senest blevet overført d. 15/06/2021 og muligvis ved en tidligere dato.
"
"26",NA,"MST2021-018","Emil Guddal Larsen","Mergus","Sjælland","44357","Franks Rev","5502.009","1490.2819999999999",3.9,"2.8","1600","nej",NA,"0.38194444444444442","0.41111111111111115","0.41111111111111115","44362",16.8,"ja","ja","makroalger","ja","ja","Dato for overførsel til -80 C fryseren i laboratoriet er ikke dokumentere, men prøvem er senest blevet overført d. 15/06/2021 og muligvis ved en tidligere dato.
"
"27",NA,"MST2021-074","Emil Guddal Larsen","Mergus","Sjælland","44364","Nivå","5593.777","1253.1010000000001",3.5,"2.2000000000000002","1500","nej",NA,"0.46249999999999997","0.48125000000000001","0.48194444444444445",NA,17.4,"ja","ja","makroalger","ja","ja","En specifik dato for overførsel til -80 C fryseren kan ikke dokumenteres, men eftersom der kke er noteret nogen afvigelser i systemet, må den være lagt i fryseren inden for 14 dage. Altså senest d. 1/7/2021
"
"28",NA,"MST2021-061","Emil Guddal Larsen","Mergus","Sjælland","44364","Nivå","5593.777","1253.1010000000001",3.5,"2.2000000000000002","1500","nej",NA,"0.46319444444444446","0.4909722222222222","0.4916666666666667",NA,17.4,"ja","ja","makroalger","ja","ja","En specifik dato for overførsel til -80 C fryseren kan ikke dokumenteres, men eftersom der kke er noteret nogen afvigelser i systemet, må den være lagt i fryseren inden for 14 dage. Altså senest d. 1/7/2021
"
"29",NA,"MST - 1028","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1600","ja","17","0.53472222222222221","12:58-13:08","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"30",NA,"MST - 1032","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1550","ja","17","0.53472222222222221","13:11-13:22","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"31",NA,"MST - 1033","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1550","ja","17","0.53472222222222221","13:25-13:36","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"32",NA,"MST - 1027","Rasmus Billegrav","Liv II","MST FYN","19.03.2021","Sydfynske øhav - BF11","5501.5720000000001","1022.664",16.5,"15.5","1500","ja","9.5","0.58888888888888891","14:32-14:44","straks efter filtrering","26.03.2021",4.2,"ja","ja","Bundfauna","ja","ja",NA
"33",NA,"MST - 1020","Rasmus Billegrav","Liv II","MST FYN","19.03.2021","Sydfynske øhav - BF11","5501.5720000000001","1022.664",16.5,"15.5","1500","ja","9.5","0.58888888888888891","14:14-14:27","straks efter filtrering","26.03.2021",4.2,"ja","ja","Bundfauna","ja","ja",NA
"34",NA,"MST2021 - 012","KRISTIAN MCGREGOR","LIV II","MST SYD","27.04.2021","Vejle Fjord, indre - VF","5542.1310000000003","939.40899999999999",6.9,"5.9","1500","nej","na","0.53333333333333333","0.55555555555555558","0.55625000000000002","03.05.2021",8.17,"ja","ja","Bundfauna","ja","ja",NA
"35",NA,"MST2021 - 017","KRISTIAN MCGREGOR","Liv II","MST SYD","27.04.2021","Vejle Fjord, indre - VF","5542.1310000000003","939.40899999999999",6.9,"5.9","1500","nej","na","0.53333333333333333","0.57222222222222219","0.57291666666666663","03.05.2021",8.17,"ja","ja","Bundfauna","ja","ja",NA
"36",NA,"MST2021-075","Jane Robertsen","Frigg","MST OJL","11.05.2021","VEJ0006870/94300001","5540.4629999999997","1005.423",21,"1","1100","ja","13","0.47013888888888888","0.48055555555555557","straks efter filtrering","20.05.2021",9.81,"ja","ja","fyto","ja","ja",NA
"37",NA,"MST2021-027","Jane Robertsen","Frigg","MST OJL","11.05.2021","VEJ0006870/94300001","5540.4629999999997","1005.423",21,"1","1150","ja","13","0.47013888888888888","0.4916666666666667","straks efter filtrering","20.05.2021",9.81,"ja","ja","fyto","ja","ja",NA
"38",NA,"MST-1022","Jane Robertsen","Frigg","MST OJL","17.05.2021","ARH1700006/94400007","5609.2839999999997","1019.122",16.2,"1","1100","ja","9","0.48402777777777778","0.4993055555555555","straks efter filtrering","20.05.2021",10.9,"ja","ja","fyto","ja","ja",NA
"39",NA,"MST2021-053","Jane Robertsen","Frigg","MST OJL","17.05.2021","ARH1700006/94400007","5609.2839999999997","1019.122",16.2,"1","1000","ja","9","0.48402777777777778","0.51041666666666663","straks efter filtrering","20.05.2021",10.9,"ja","ja","fyto","ja","ja",NA
"40",NA,"MST2021-089","Jane Robertsen","Frigg","MST OJL","17.05.2021","Ebeltoft Vig","5612.5640000000003","1036.124",14,"13","1400","ja","7.5","0.57152777777777775","0.59236111111111112","straks efter filtrering","20.05.2021",7.73,"ja","ja","Bundfauna","ja","ja",NA
"41",NA,"MST2021-100","Jane Robertsen","Frigg","MST OJL","17.05.2021","Ebeltoft Vig","5612.5640000000003","1036.124",14,"13","1500","ja","7.5","0.57152777777777775","0.6020833333333333","straks efter filtrering","20.05.2021",7.73,"ja","ja","Bundfauna","ja","ja",NA
"42",NA,"MST2021-088","Jane Robertsen","Frigg","MST FYN","20.05.2021","Kerteminde Bugt","5526.3530000000001","1049.3969999999999",19.8,"18.8","1600","ja","7.5","0.23750000000000002","0.25555555555555559","straks efter filtrering","21.05.2021",7.37,"ja","ja","Bundfauna","ja","ja",NA
"43",NA,"MST2021-094","Jane Robertsen","Frigg","MST FYN","20.05.2021","Kerteminde Bugt","5526.3530000000001","1049.3969999999999",19.8,"18.8","1500","ja","7.5","0.23750000000000002","0.2673611111111111","straks efter filtrering","21.05.2021",7.37,"ja","ja","Bundfauna","ja","ja",NA
"44",NA,"MST2021-062","Jane Robertsen","Frigg","MST FYN","44337","95600002/FYN6300043","5459.8549999999996","1009.5549999999999",36.1,"1","1400","ja","12","0.47152777777777777","0.48194444444444445","straks efter filtrering","21.05.2021",11.22,"ja","ja","fyto","ja","ja",NA
